frame,tempo (s),x (px),y (px),distancia acumulada (px),velocidade (px/s)
0,0.0,30.460606060606036,150.01212121212123,0.0,231.87846270386478
1,0.033876811594202895,38.31515151515149,149.90303030303033,7.85530299377223,233.12470698250664
2,0.06775362318840579,46.254112554112524,149.7917748917749,15.795043552800268,235.61719733047346
3,0.10163043478260869,54.277489177489144,149.678354978355,23.819221798409384,238.10969120386477
4,0.13550724637681158,62.38528138528129,149.56277056277034,31.92783784813458,242.17548970391186
5,0.1693840579710145,70.68398268398258,149.4372294372292,40.22748867327587,248.8473436199758
6,0.20326086956521738,79.24242424242414,149.24242424242402,48.78814699919816,256.88789133034345
7,0.23713768115942027,88.08658008657996,149.17316017315994,57.632574064136094,263.6280038445435
8,0.27101449275362316,97.10389610389596,149.18614718614697,66.64989943359295,280.50119959771223
9,0.3048913043478261,107.09090909090894,149.29870129870108,76.6375466455753,264.63371785887
10,0.338768115942029,115.02597402597385,149.6363636363634,84.57979263634972,219.61935829906315
11,0.37264492753623185,121.90043290043272,150.57142857142836,91.5175538926495,224.60051931265457
12,0.40652173913043477,130.06926406926388,151.9220779220777,99.79729158977959,220.52064219338945
13,0.4403985507246377,136.51082251082232,153.6190476190474,106.45862638908568,216.39737319563324
14,0.47427536231884054,144.24242424242402,155.67532467532445,114.45899767223735,239.54523907591124
15,0.5081521739130435,151.80086580086558,158.9307359307357,122.68868425401156,298.5091946576165
16,0.5420289855072463,162.88744588744566,163.51082251082227,134.68407716534395,324.3358109771102
17,0.5759057971014493,172.17748917748895,167.1558441558439,144.6636105774607,317.1978351557957
18,0.6097826086956522,182.51515151515127,172.22077922077898,156.1753797646678,328.8918720251695
19,0.643659420289855,192.15151515151487,177.03463203463178,166.9472265443834,296.85887535037773
20,0.677536231884058,200.35064935064906,181.51082251082227,176.28864414529122,260.2840877555536
21,0.7114130434782608,207.6017316017313,185.53679653679626,184.58241654811113,217.66096495549118
22,0.7452898550724637,212.95670995670963,189.13852813852787,191.03596314771033,245.55669930251815
23,0.7791666666666667,221.14718614718583,195.19047619047592,201.21977262404263,296.55531514872064
24,0.8130434782608695,229.17748917748884,200.9956709956707,211.1286602248157,313.98725184098384
25,0.8469202898550724,238.0346320346317,208.11688311688283,222.4935465712397,349.55670904387034
26,0.8807971014492754,247.63203463203428,215.83982683982651,234.81239377235332,382.7360927902728
27,0.9146739130434782,257.54978354978317,225.16450216450184,248.42530358275457,365.0545943193947
28,0.9485507246376811,265.415584415584,233.0259740259737,259.5461651990659,355.21532451601615
29,0.9824275362318841,274.337662337662,242.40692640692606,272.49242883076005,354.28408628442503
30,1.016304347826087,281.76190476190436,250.60173160173122,283.5501956828295,327.3154105567264
31,1.05018115942029,289.40259740259694,258.6796536796533,294.66923382137884,342.6622105805218
32,1.0840579710144926,297.3246753246749,267.8225108225104,306.7668019794083,360.87754331380256
33,1.1179347826086956,305.6839826839822,276.91774891774855,319.11999490821984,379.6552871198819
34,1.1518115942028986,314.30303030302986,287.1385281385277,332.4898232444148,398.34618714422777
35,1.1856884057971013,322.8095238095234,297.77489177489133,346.109392370528,410.9532357791177
36,1.2195652173913043,331.450216450216,309.07359307359263,360.3333939294492,438.9735436656438
37,1.2534420289855073,340.6839826839822,321.54545454545405,375.85144043772925,423.2435857624805
38,1.28731884057971,348.3766233766229,332.22077922077875,389.00968035611,360.81139853184595
39,1.321195652173913,354.7445887445882,341.54112554112504,400.29771997593764,368.6105975745195
40,1.355072463768116,362.64935064935014,352.7142857142852,413.9843838874271,366.6817405813181
41,1.3889492753623187,368.95670995670946,361.9177489177484,425.14173645735303,356.0327499217801
42,1.4228260869565217,376.37662337662283,372.549783549783,438.1068926683593,417.823140261713
43,1.4567028985507247,384.4718614718609,385.584415584415,453.4507680620416,492.74984274764756
44,1.4905797101449274,393.67965367965314,401.0995670995665,471.49247984002955,492.88337883226177
45,1.5244565217391304,401.29870129870073,414.4285714285709,486.8454027872709,494.9824436611689
46,1.5583333333333333,409.8095238095232,430.4978354978349,505.02933381272476,518.437339030831
47,1.592210144927536,417.62770562770504,445.5281385281379,521.9714109027656,498.84361467768395
48,1.626086956521739,425.9740259740254,460.1731601731595,538.8277961115389,464.29744968809246
49,1.659963768115942,432.06926406926345,473.44155844155773,553.4292453562705,415.2115556092449
